1,Interdisciplinary visualization: lessons learned at NCSA,Vis,1990,M,10.0000/00000002,http://dl.acm.org/citation.cfm?id=949606&CFID=522724143&CFTOKEN=98665846,Donna J. Cox
2,Surface representations of two- and three-dimensional fluid flow topology,Vis,1990,C,10.1109/VISUAL.1990.146359,http://dx.doi.org/10.1109/VISUAL.1990.146359,James Helman;Lambertus Hesselink
3,FAST: a multi-processed environment for visualization of computational fluid dynamics,Vis,1990,C,10.1109/VISUAL.1990.146360,http://dx.doi.org/10.1109/VISUAL.1990.146360,Gordon V. Bancroft;Fergus Merritt;Todd Plessel;Paul G. Kelaita;R. Kevin McCabe;Al Globus
4,The VIS-5D system for easy interactive visualization,Vis,1990,C,10.1109/VISUAL.1990.146361,http://dx.doi.org/10.1109/VISUAL.1990.146361,William L. Hibbard;David A. Santek
5,A procedural interface for volume rendering,Vis,1990,C,10.1109/VISUAL.1990.146362,http://dx.doi.org/10.1109/VISUAL.1990.146362,James L. Montine
6,Techniques for the interactive visualization of volumetric data,Vis,1990,C,10.1109/VISUAL.1990.146363,http://dx.doi.org/10.1109/VISUAL.1990.146363,Gregory M. Nielson;Bernd Hamann
7,Displaying voxel-based objects according to their qualitative shape synthesis,Vis,1990,C,10.1109/VISUAL.1990.146364,http://dx.doi.org/10.1109/VISUAL.1990.146364,Yaser Yacoob
8,Interpreting a 3D object from a rough 2D line drawing,Vis,1990,C,10.1109/VISUAL.1990.146365,http://dx.doi.org/10.1109/VISUAL.1990.146365,Del Lamb;Amit Bandopadhay
9,Animation techniques for chain-coded objects,Vis,1990,C,10.1109/VISUAL.1990.146366,http://dx.doi.org/10.1109/VISUAL.1990.146366,Anthony J. Maeder
10,Extracting geometric models through constraint minimization,Vis,1990,C,10.1109/VISUAL.1990.146367,http://dx.doi.org/10.1109/VISUAL.1990.146367,James V. Miller;David E. Breen;Michael J. Wozny
11,Wide-band relativistic Doppler effect visualization,Vis,1990,C,10.1109/VISUAL.1990.146368,http://dx.doi.org/10.1109/VISUAL.1990.146368,Ping-Kang Hsiung;Robert H. Thibadeau;Christopher B. Cox;Robert H. P. Dunn;Michael Wu;Paul Andrew Olbrich
12,Dynamic graphics for network visualization,Vis,1990,C,10.1109/VISUAL.1990.146369,http://dx.doi.org/10.1109/VISUAL.1990.146369,Richard A. Becker;Stephen G. Eick;Eileen O. Miller;Allan R. Wilks
13,Techniques for visualizing Fermat's last theorem: a case study,Vis,1990,C,10.1109/VISUAL.1990.146370,http://dx.doi.org/10.1109/VISUAL.1990.146370,Andrew J. Hanson;Pheng-Ann Heng;B. C. Kaplan
14,Visualizing computer memory architectures,Vis,1990,C,10.1109/VISUAL.1990.146371,http://dx.doi.org/10.1109/VISUAL.1990.146371,Bowen Alpern;Larry Carter;Ted Selker
15,A methodology for scientific data visualisation: choosing representations based on a natural scene paradigm,Vis,1990,C,10.1109/VISUAL.1990.146372,http://dx.doi.org/10.1109/VISUAL.1990.146372,Philip K. Robertson
16,Moving iconic objects in scientific visualization,Vis,1990,C,10.1109/VISUAL.1990.146373,http://dx.doi.org/10.1109/VISUAL.1990.146373,G. David Kerlick
17,Classifying visual knowledge representations: a foundation for visualization research,Vis,1990,C,10.1109/VISUAL.1990.146374,http://dx.doi.org/10.1109/VISUAL.1990.146374,Gerald L. Lohse;Henry H. Rueter;Kevin Biolsi;Neff Walker
18,A problem-oriented classification of visualization techniques,Vis,1990,C,10.1109/VISUAL.1990.146375,http://dx.doi.org/10.1109/VISUAL.1990.146375,Stephen Wehrend;Clayton Lewis
19,Visualization and three-dimensional image processing of positron emission tomography (PET) brain images,Vis,1990,C,10.1109/VISUAL.1990.146376,http://dx.doi.org/10.1109/VISUAL.1990.146376,Nahum D. Gershon
20,Applying space subdivision techniques to volume rendering,Vis,1990,C,10.1109/VISUAL.1990.146377,http://dx.doi.org/10.1109/VISUAL.1990.146377,Kalpathi R. Subramanian;Donald S. Fussell
21,Volume visualization in cell biology,Vis,1990,C,10.1109/VISUAL.1990.146378,http://dx.doi.org/10.1109/VISUAL.1990.146378,Arie E. Kaufman;Roni Yagel;Reuven Bakalash;I. Spector
22,Hierarchical triangulation using terrain features,Vis,1990,C,10.1109/VISUAL.1990.146379,http://dx.doi.org/10.1109/VISUAL.1990.146379,Lori L. Scarlatos;Theodosios Pavlidis
23,Rendering and managing spherical data with sphere quadtrees,Vis,1990,C,10.1109/VISUAL.1990.146380,http://dx.doi.org/10.1109/VISUAL.1990.146380,Gyorgy Fekete
24,Methods for surface interrogation,Vis,1990,C,10.1109/VISUAL.1990.146381,http://dx.doi.org/10.1109/VISUAL.1990.146381,Hans Hagen;Thomas Schreiber;Ernst Gschwind
